Date,Open,High,Low,Close,Dividend,SplitRatio,SplitText
2019-02-11,710.0,710.0,505.0,505.0,,,
2019-02-12,505.0,505.0,505.0,505.0,,,
2019-02-13,510.0,510.0,510.0,510.0,,,
2019-02-14,520.0,520.0,520.0,520.0,,,
2019-02-15,520.0,520.0,520.0,520.0,,,
2019-02-19,520.0,520.0,520.0,520.0,,,
2019-02-20,520.0,520.0,520.0,520.0,,,
2019-02-21,520.0,520.0,520.0,520.0,,,
2019-02-22,520.0,520.0,520.0,520.0,,,
2019-02-25,523.0,523.0,523.0,523.0,,,
2019-02-26,518.0,518.0,518.0,518.0,,,
2019-02-27,510.0,510.0,510.0,510.0,,,
2019-02-28,513.0,513.0,513.0,513.0,,,
2019-03-01,512.0,512.0,512.0,512.0,,,
2019-03-04,520.0,520.0,505.0,505.0,,,
2019-03-05,505.0,505.0,505.0,505.0,,,
2019-03-06,505.0,505.0,505.0,505.0,,,
2019-03-07,505.0,505.0,505.0,505.0,,,
2019-03-08,500.0,500.0,500.0,500.0,,,
2019-03-11,520.5999755859375,1899.9000244140625,490.0,900.0,,,
2019-03-12,850.0,897.5,575.0,625.0,,,
2019-03-13,600.0,615.0,538.4000244140625,555.0,,,
2019-03-14,550.0,550.0,500.1000061035156,502.0,,,
2019-03-15,516.5999755859375,572.2000122070312,460.0,500.0,,,
2019-03-18,500.0,500.0,412.0,450.0,,,
2019-03-19,424.0,424.0,399.5,406.1000061035156,,,
2019-03-20,410.0,420.8999938964844,410.0,410.0,,,
2019-03-21,465.0,541.4000244140625,435.0,475.0,,,
2019-03-22,480.0,497.70001220703125,430.0,459.0,,,
2019-03-25,474.0,548.0,450.0,490.0,,,
2019-03-26,479.70001220703125,1057.0,454.0,1015.0,,,
2019-03-27,1405.0,1850.0,905.0,911.0,,,
2019-03-28,755.0,861.2999877929688,603.0,634.0,,,
2019-03-29,665.0,678.4000244140625,536.0,547.0,,,
2019-04-01,542.0,580.0,461.0,526.0,,,
2019-04-02,527.0,773.0,526.0,596.0,,,
2019-04-03,542.0,633.0,539.9000244140625,557.0,,,
2019-04-04,509.0,541.7000122070312,503.0,530.0,,,
2019-04-05,530.0,549.0,505.0,538.0,,,
2019-04-08,514.0,520.0,494.0,512.0,,,
2019-04-09,486.0,558.0,477.0,521.0,,,
2019-04-10,506.5,524.0,493.0,513.0,,,
2019-04-11,513.0,513.0,484.70001220703125,505.0,,,
2019-04-12,501.0,848.0,500.79998779296875,575.0,,,
2019-04-15,532.0,556.2000122070312,501.0,538.0,,,
2019-04-16,520.0,585.0,513.0,559.0,,,
2019-04-17,550.0,568.2000122070312,517.4000244140625,542.0,,,
2019-04-18,531.0,580.0,522.0,527.0,,,
2019-04-22,520.0,544.5999755859375,500.0,520.0,,,
2019-04-23,525.0,541.0,515.0,524.0,,,
2019-04-24,511.0,573.0,511.0,546.0,,,
2019-04-25,537.0,580.0,525.0,569.0,,,
2019-04-26,583.0,721.0,580.0,640.0,,,
2019-04-29,616.0,697.5999755859375,607.0,673.0,,,
2019-04-30,680.0,691.0,620.0,647.0,,,
2019-05-01,642.0,651.7000122070312,596.0,624.0,,,
2019-05-02,616.0,628.0,580.0,580.0,,,
2019-05-03,590.0,620.0,566.4000244140625,590.0,,,
2019-05-06,563.0,578.0,552.0,562.0,,,
2019-05-07,568.0,568.0,551.0,565.0,,,
2019-05-08,553.0,605.0,551.0,570.0,,,
2019-05-09,562.0,575.7000122070312,516.0,532.0,,,
2019-05-10,518.0,535.5999755859375,513.0,521.0,,,
2019-05-13,515.0,522.5999755859375,506.0,513.0,,,
2019-05-14,514.0,548.0,514.0,520.0,,,
2019-05-15,534.0,569.0,520.0,555.0,,,
2019-05-16,550.0,588.0,537.0,549.0,,,
2019-05-17,536.7000122070312,560.0,530.0,537.5,,,
2019-05-20,533.0,548.7999877929688,528.0,535.0,,,
2019-05-21,535.0,549.0,515.0,528.0,,,
2019-05-22,528.0,541.0,518.0,518.0,,,
2019-05-23,525.5,525.5,505.5,507.0,,,
2019-05-24,508.6000061035156,510.70001220703125,480.0,503.0,,,
2019-05-28,495.0,518.2000122070312,485.0,496.70001220703125,,,
2019-05-29,497.0,500.0,465.0,465.0,,,
2019-05-30,470.0,494.0,466.0,487.0,,,
2019-05-31,478.79998779296875,496.0,473.0,475.0,,,
2019-06-03,473.0,473.0,425.0,431.0,,,
2019-06-04,898.0,960.0,547.0,586.0,,,
2019-06-05,557.0,560.0,480.0,480.0,,,
2019-06-06,453.0,489.0,431.0,439.0,,,
2019-06-07,435.0,495.0,435.0,446.0,,,
2019-06-10,447.0,467.0,440.0,448.0,,,
2019-06-11,440.0,471.0,419.0,438.0,,,
2019-06-12,430.0,444.0,426.0,434.0,,,
2019-06-13,443.0,495.0,434.0,461.0,,,
2019-06-14,456.0,475.0,445.0,446.3999938964844,,,
2019-06-17,448.0,461.0,442.0,448.0,,,
2019-06-18,441.0,462.0,434.0,440.29998779296875,,,
2019-06-19,441.0,446.3999938964844,425.0,433.79998779296875,,,
2019-06-20,435.0,435.0,411.70001220703125,425.0,,,
2019-06-21,416.0,421.0,407.70001220703125,408.0,,,
2019-06-24,410.0,421.8999938964844,380.0,410.0,,,
2019-06-25,400.79998779296875,420.0,397.0,417.0,,,
2019-06-26,406.70001220703125,415.0,400.0,410.0,,,
2019-06-27,411.0,430.0,406.0,419.0,,,
2019-06-28,425.0,460.0,420.0,427.0,,,
2019-07-01,421.0,440.0,400.0,422.0,,,
2019-07-02,417.0,427.0,410.0,416.70001220703125,,,
2019-07-03,427.0,427.0,412.0,415.1000061035156,,,
2019-07-05,423.0,423.0,405.0,412.0,,,
2019-07-08,410.0,418.0,404.0,408.0,,,
2019-07-09,397.0,438.0,393.0,434.0,,,
2019-07-10,412.3999938964844,421.0,388.0,415.0,,,
2019-07-11,401.0,430.0,401.0,410.1000061035156,,,
2019-07-12,416.1000061035156,421.0,400.0,401.0,,,
